영화댓글
"스파이더맨으로 더 이상 뽑아 낼게 있나 싶었는데, 깜놀했음ㅎ 진짜 잘 만들었다. 신선해~~!"
풀뿌리 영웅주의에 대한 감각적인 해설.
경이로운 소문 오프닝 영상보다 자꾸 스파이더맨:뉴유니버스가 떠올라 다시 봤더니역시는 역시!!!
진짜 그냥 완벽하다 ㅠ ㅅ ㅠ
지린다...역대 스파이더맨중 가장재밌었다
스뽜이더맨~ 쓰뽜이더맨~
요즘 괜찮은영화 못만들고있는것같던데 드디어 걸작하나 만들어준 소니. 내용은 평범하지만 작화가 대단하다
""
메세지나 영화적 완성도는 물론이고 ost만으로도 일단 반은 먹고들어간다.
"이런 애니매이션은 처음이다. 내용, 색채, 스타일, 음악 그리고 스피디하고 통통 튀는 전개지루할 틈이 없다. 누구나 영웅이 될 수 있는 꿈을 꿀 수 있는 영화."
